[2022-07-23 11:47:05,043][django.utils.autoreload.run_with_reloader():637] [INFO] Watching for file changes with StatReloader
[2022-07-23 11:51:48,667][django.utils.autoreload.run_with_reloader():637] [INFO] Watching for file changes with StatReloader
[2022-07-23 11:56:09,383][django.utils.autoreload.run_with_reloader():637] [INFO] Watching for file changes with StatReloader
[2022-07-23 12:01:15,630][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/login/ with method: POST
[2022-07-23 12:01:15,631][django.server.log_message():161] [INFO] "POST /user/login/ HTTP/1.1" 200 419
[2022-07-23 12:01:15,662][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/user-menus/ with method: POST
[2022-07-23 12:01:15,663][django.server.log_message():161] [INFO] "POST /user/user-menus/ HTTP/1.1" 200 2452
[2022-07-23 12:01:17,308][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /media/icon/avatar.jpg/ with method: GET
[2022-07-23 12:01:17,315][django.server.log_message():161] [INFO] "GET /media/icon/avatar.jpg/ HTTP/1.1" 200 272429
[2022-07-23 12:03:08,129][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /api/project/ with method: GET
[2022-07-23 12:03:08,130][django.server.log_message():161] [INFO] "GET /api/project/ HTTP/1.1" 200 142
[2022-07-23 12:03:15,665][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/menu/ with method: GET
[2022-07-23 12:03:15,665][django.server.log_message():161] [INFO] "GET /user/menu/ HTTP/1.1" 200 4945
[2022-07-23 12:03:18,858][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/menu/ with method: GET
[2022-07-23 12:03:18,859][django.server.log_message():161] [INFO] "GET /user/menu/ HTTP/1.1" 200 4945
[2022-07-23 12:03:33,687][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/menu/30/ with method: PUT
[2022-07-23 12:03:33,688][django.server.log_message():161] [INFO] "PUT /user/menu/30/ HTTP/1.1" 200 310
[2022-07-23 12:03:33,710][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/menu/ with method: GET
[2022-07-23 12:03:33,711][django.server.log_message():161] [INFO] "GET /user/menu/ HTTP/1.1" 200 4947
[2022-07-23 12:03:33,724][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/menu/ with method: GET
[2022-07-23 12:03:33,725][django.server.log_message():161] [INFO] "GET /user/menu/ HTTP/1.1" 200 4947
[2022-07-23 12:03:40,343][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/menu/ with method: GET
[2022-07-23 12:03:40,344][django.server.log_message():161] [INFO] "GET /user/menu/ HTTP/1.1" 200 4947
[2022-07-23 12:03:45,191][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/menu/ with method: GET
[2022-07-23 12:03:45,192][django.server.log_message():161] [INFO] "GET /user/menu/ HTTP/1.1" 200 4947
[2022-07-23 12:03:47,061][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/role/ with method: GET
[2022-07-23 12:03:47,062][django.server.log_message():161] [INFO] "GET /user/role/ HTTP/1.1" 200 1168
[2022-07-23 12:03:55,104][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/menu/ with method: GET
[2022-07-23 12:03:55,105][django.server.log_message():161] [INFO] "GET /user/menu/ HTTP/1.1" 200 4947
[2022-07-23 12:04:02,114][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/role/38710147e7f14a1d96f29c49515e0784/ with method: PUT
[2022-07-23 12:04:02,115][django.server.log_message():161] [INFO] "PUT /user/role/38710147e7f14a1d96f29c49515e0784/ HTTP/1.1" 200 319
[2022-07-23 12:04:04,634][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/menu/ with method: GET
[2022-07-23 12:04:04,635][django.server.log_message():161] [INFO] "GET /user/menu/ HTTP/1.1" 200 4947
[2022-07-23 12:04:07,336][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/role/0b1f9548af594740938e4c8c86652dfa/ with method: PUT
[2022-07-23 12:04:07,336][django.server.log_message():161] [INFO] "PUT /user/role/0b1f9548af594740938e4c8c86652dfa/ HTTP/1.1" 200 317
[2022-07-23 12:04:09,127][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/menu/ with method: GET
[2022-07-23 12:04:09,128][django.server.log_message():161] [INFO] "GET /user/menu/ HTTP/1.1" 200 4947
[2022-07-23 12:04:11,690][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/role/d9b4b4797b554db8ae4ac4e22ec9f1s1/ with method: PUT
[2022-07-23 12:04:11,691][django.server.log_message():161] [INFO] "PUT /user/role/d9b4b4797b554db8ae4ac4e22ec9f1s1/ HTTP/1.1" 200 314
[2022-07-23 12:04:37,878][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /api/suit/ with method: GET
[2022-07-23 12:04:37,879][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /api/template/ with method: GET
[2022-07-23 12:04:37,879][django.server.log_message():161] [INFO] "GET /api/suit/ HTTP/1.1" 200 142
[2022-07-23 12:04:37,880][django.server.log_message():161] [INFO] "GET /api/template/ HTTP/1.1" 200 142
[2022-07-23 12:04:37,895][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /api/case/ with method: GET
[2022-07-23 12:04:37,896][django.server.log_message():161] [INFO] "GET /api/case/ HTTP/1.1" 200 142
[2022-07-23 12:04:38,522][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /api/template/ with method: GET
[2022-07-23 12:04:38,523][django.server.log_message():161] [INFO] "GET /api/template/ HTTP/1.1" 200 142
[2022-07-23 12:04:38,533][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /api/template/ with method: GET
[2022-07-23 12:04:38,534][django.server.log_message():161] [INFO] "GET /api/template/ HTTP/1.1" 200 142
[2022-07-23 12:04:40,226][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /api/project/ with method: GET
[2022-07-23 12:04:40,227][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /api/suit/ with method: GET
[2022-07-23 12:04:40,228][django.server.log_message():161] [INFO] "GET /api/project/ HTTP/1.1" 200 142
[2022-07-23 12:04:40,228][django.server.log_message():161] [INFO] "GET /api/suit/ HTTP/1.1" 200 142
[2022-07-23 12:05:12,376][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/menu/ with method: GET
[2022-07-23 12:05:12,377][django.server.log_message():161] [INFO] "GET /user/menu/ HTTP/1.1" 200 4947
[2022-07-23 12:06:00,556][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/menu/ with method: POST
[2022-07-23 12:06:00,557][django.server.log_message():161] [INFO] "POST /user/menu/ HTTP/1.1" 200 291
[2022-07-23 12:06:00,607][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/menu/ with method: GET
[2022-07-23 12:06:00,607][django.server.log_message():161] [INFO] "GET /user/menu/ HTTP/1.1" 200 5195
